ticker,date,avg_sentiment,article_count
CSCO,2026-04-23,0.0808,100
LRCX,2026-04-23,0.1733,100
KO,2026-04-23,0.1515,92
GE,2026-04-23,0.0646,100
AMAT,2026-04-23,0.0862,100
MS,2026-04-23,0.0611,75
UNH,2026-04-23,0.1728,100
MRK,2026-04-23,0.0878,100
GS,2026-04-23,0.1188,100
GEV,2026-04-23,0.1184,100
RTX,2026-04-23,0.0849,100
AAPL,2026-04-23,0.069,100
XOM,2026-04-23,0.0932,100
TSLA,2026-04-23,-0.0227,100
MSFT,2026-04-23,0.11,100
NVDA,2026-04-23,0.0394,102
AMZN,2026-04-23,0.2173,102
GOOGL,2026-04-23,0.1039,100
AVGO,2026-04-23,0.0791,100
BRK.B,2026-04-23,0.0722,100
WMT,2026-04-23,0.0714,100
JPM,2026-04-23,0.1079,100
LLY,2026-04-23,0.1017,100
V,2026-04-23,0.0488,47
JNJ,2026-04-23,0.135,100
MU,2026-04-23,-0.0874,100
ORCL,2026-04-23,-0.0061,100
MA,2026-04-23,0.1158,91
AMD,2026-04-23,0.0682,92
COST,2026-04-23,0.1183,100
NFLX,2026-04-23,0.0113,100
BAC,2026-04-23,0.1,100
CAT,2026-04-23,0.0279,100
ABBV,2026-04-23,0.0523,100
CVX,2026-04-23,0.0243,100
PLTR,2026-04-23,0.0358,100
HD,2026-04-23,0.1102,100
INTC,2026-04-23,0.1264,92
PG,2026-04-23,0.0672,100
CSCO,2026-04-23,0.084,100
LRCX,2026-04-23,0.1619,100
KO,2026-04-23,0.1062,89
GE,2026-04-23,0.0619,100
AMAT,2026-04-23,0.0748,100
MS,2026-04-23,0.055,79
UNH,2026-04-23,0.1306,100
MRK,2026-04-23,0.1054,100
GS,2026-04-23,0.1188,100
GEV,2026-04-23,0.1263,100
RTX,2026-04-23,0.0917,100
AAPL,2026-04-23,0.0522,100
XOM,2026-04-23,0.1144,100
TSLA,2026-04-23,-0.0675,100
MSFT,2026-04-23,0.0826,100
NVDA,2026-04-23,0.0564,102
AMZN,2026-04-23,0.2423,102
GOOGL,2026-04-23,0.1091,100
AVGO,2026-04-23,0.0791,100
BRK.B,2026-04-23,0.1306,100
WMT,2026-04-23,0.1302,100
JPM,2026-04-23,0.104,100
LLY,2026-04-23,0.1084,100
V,2026-04-23,0.0459,50
JNJ,2026-04-23,0.1409,100
MU,2026-04-23,-0.0557,100
ORCL,2026-04-23,0.0336,100
MA,2026-04-23,0.1158,91
AMD,2026-04-23,0.0799,92
COST,2026-04-23,0.112,100
NFLX,2026-04-23,0.0142,100
BAC,2026-04-23,0.0778,100
CAT,2026-04-23,0.0317,100
ABBV,2026-04-23,0.0531,100
CVX,2026-04-23,0.0415,100
PLTR,2026-04-23,0.0375,100
HD,2026-04-23,0.1102,100
INTC,2026-04-23,0.1264,92
PG,2026-04-23,0.0711,100
CSCO,2026-04-23,0.1064,100
LRCX,2026-04-23,0.1733,100
KO,2026-04-23,0.1125,91
GE,2026-04-23,0.0646,100
AMAT,2026-04-23,0.0862,100
MS,2026-04-23,0.0611,75
UNH,2026-04-23,0.1347,100
MRK,2026-04-23,0.0959,100
GS,2026-04-23,0.1188,100
GEV,2026-04-23,0.1184,100
RTX,2026-04-23,0.0849,100
AAPL,2026-04-23,0.069,100
XOM,2026-04-23,0.1236,100
TSLA,2026-04-23,-0.0227,100
MSFT,2026-04-23,0.11,100
NVDA,2026-04-23,0.0394,102
AMZN,2026-04-23,0.2358,102
GOOGL,2026-04-23,0.1039,100
AVGO,2026-04-23,0.0791,100
BRK-B,2026-04-23,0.1167,100
WMT,2026-04-23,0.0714,100
JPM,2026-04-23,0.1079,100
LLY,2026-04-23,0.1017,100
V,2026-04-23,0.0478,48
JNJ,2026-04-23,0.1512,100
MU,2026-04-23,-0.0633,100
ORCL,2026-04-23,0.0097,100
MA,2026-04-23,0.085,79
AMD,2026-04-23,0.0682,92
COST,2026-04-23,0.1183,100
NFLX,2026-04-23,-0.0023,100
BAC,2026-04-23,0.0846,100
CAT,2026-04-23,0.0279,100
ABBV,2026-04-23,0.0531,100
CVX,2026-04-23,0.0243,100
PLTR,2026-04-23,0.0422,100
HD,2026-04-23,0.1102,100
INTC,2026-04-23,0.1295,92
PG,2026-04-23,0.0698,100
CSCO,2026-04-23,0.0796,100
LRCX,2026-04-23,0.1619,100
KO,2026-04-23,0.1125,91
GE,2026-04-23,0.06,100
AMAT,2026-04-23,0.0748,100
MS,2026-04-23,0.0611,75
UNH,2026-04-23,0.1519,100
MRK,2026-04-23,0.0725,100
GS,2026-04-23,0.1188,100
GEV,2026-04-23,0.1251,100
RTX,2026-04-23,0.0808,100
AAPL,2026-04-23,0.0534,100
XOM,2026-04-23,0.1144,100
TSLA,2026-04-23,-0.0255,100
MSFT,2026-04-23,0.0826,100
NVDA,2026-04-23,0.0564,102
AMZN,2026-04-23,0.2163,102
GOOGL,2026-04-23,0.1128,100
AVGO,2026-04-23,0.0955,100
BRK-B,2026-04-23,0.1066,100
WMT,2026-04-23,0.1304,100
JPM,2026-04-23,0.104,100
LLY,2026-04-23,0.1001,100
V,2026-04-23,0.0459,50
JNJ,2026-04-23,0.1464,100
MU,2026-04-23,-0.0557,100
ORCL,2026-04-23,0.0336,100
MA,2026-04-23,0.1158,91
AMD,2026-04-23,0.0772,92
COST,2026-04-23,0.112,100
NFLX,2026-04-23,-0.0152,100
BAC,2026-04-23,0.0778,100
CAT,2026-04-23,0.0317,100
ABBV,2026-04-23,0.0531,100
CVX,2026-04-23,0.0415,100
PLTR,2026-04-23,0.0599,100
HD,2026-04-23,0.1102,100
INTC,2026-04-23,0.1296,92
PG,2026-04-23,0.0711,100
CSCO,2026-04-23,0.1064,100
LRCX,2026-04-23,0.1733,100
KO,2026-04-23,0.1125,91
GE,2026-04-23,0.0646,100
AMAT,2026-04-23,0.0862,100
MS,2026-04-23,0.0611,75
UNH,2026-04-23,0.1746,100
MRK,2026-04-23,0.0959,100
GS,2026-04-23,0.1188,100
GEV,2026-04-23,0.1184,100
RTX,2026-04-23,0.0915,100
AAPL,2026-04-24,0.0516,102
XOM,2026-04-24,0.0893,100
TSLA,2026-04-24,-0.0071,100
MSFT,2026-04-24,0.0826,100
NVDA,2026-04-24,0.0534,102
AMZN,2026-04-24,0.2394,102
GOOGL,2026-04-24,0.1051,100
AVGO,2026-04-24,0.1183,100
BRK-B,2026-04-24,0.1201,100
WMT,2026-04-24,0.0669,100
